,MisconceptionName,LLM_Response,MisconceptionId
787,Does not scale up a ratio to find an equivalent value,"Question Text: A recipe for making 4 cupcakes requires 120g of flour. How much flour is needed to make 12 cupcakes?
Correct Answer Text: 360g
Wrong Answer Text: 120g",787
788,Believes all linear graphs show direct proportion,"Question Text: 
A water tank is being filled at a constant rate of \( 2 \) litres per minute. However, there is a small leak, causing the tank to lose \( 0.5 \) litres per minute. A graph is drawn to show the volume of water in the tank over time. What type of relationship does the graph show?

Correct Answer Text: 
The graph shows a linear relationship but not direct proportion.

Wrong Answer Text: 
The graph shows direct proportion because it is a straight line.",788
789,Does not understand the naming structure of polygons,"Question Text: What is the name of a polygon with 7 sides?
Correct Answer Text: Heptagon
Wrong Answer Text: Septangle",789
790,Thinks the shape of the graph does not affect the area calculation,"Question Text: Two rectangles have the same base length of 6 cm, but different heights. Rectangle A has a height of 4 cm and rectangle B has a height of 8 cm. Which rectangle has a larger area?
Correct Answer Text: Rectangle B
Wrong Answer Text: They have the same area because they have the same base length.",790
791,"In a worded problem, does not complete all calculations","Question Text: 
Tom has 15 boxes of pens to pack into cartons. Each carton can hold 3 boxes of pens. If he already has 4 cartons filled and he needs to buy more cartons that can hold 3 boxes each, how many more cartons does he need to buy?

Correct Answer Text: 
To find out how many cartons Tom needs in total, first, we need to divide the total number of boxes by the number of boxes each carton can hold. 15 boxes / 3 boxes per carton = 5 cartons. Since he already has 4 cartons, he needs 5 - 4 = 1 more carton.

Wrong Answer Text: 
To find out how many cartons Tom needs to buy, we need to divide the total number of boxes by the number of boxes each carton can hold. 15 boxes / 3 boxes per carton = 5 cartons.",791
792,Expands when asked to simplify,"Question Text: Simplify the expression: \( 3(2x+5) \)
Correct Answer Text: \( 6x+15 \)
Wrong Answer Text: \( 6x+5+3 \)",792
793,Forgets to subtract sum of angles we know from 180 to find missing angle in a triangle,"Question Text: In a triangle, one angle is \( 60^{\circ} \) and another angle is \( 70^{\circ} \). What is the measure of the third angle?
Correct Answer Text: \( 180^{\circ} - (60^{\circ} + 70^{\circ}) = 50^{\circ} \)
Wrong Answer Text: \( 60^{\circ} + 70^{\circ} = 130^{\circ} \)",793
794,Rounds up rather than to one significant figure,"Question Text: A book has a mass of 432.78 grams. What is its mass to one significant figure?

Correct Answer Text: 400 grams

Wrong Answer Text: 433 grams",794
795,Ignores the negative signs when adding positive and negative numbers,"Question Text: What is the result of \( 7+(-3)+2 \) ?
Correct Answer Text: \( 6 \)
Wrong Answer Text: \( 12 \)",795
796,Draws both angles at the same end of the line when constructing a triangle,"Question Text: Construct a triangle with two angles, 60° and 80°, on a straight line. Where should the angles be placed to create the triangle?

Correct Answer Text: The 60° angle at one end of the line and the 80° angle at the other end of the line.

Wrong Answer Text: Both the 60° and 80° angles at the same end of the line.",796
797,Reflects horizontally or vertically instead of across a diagonal line of symmetry,"Question Text: What is the image of point \( (2,3) \) after a reflection across the line \( y=x \) ?

Correct Answer Text: \( (3,2) \)

Wrong Answer Text: \( (-2,3) \)",797
798,Believes all numbers in a prime factor tree are included in the list of prime factors,"Question Text: What are the prime factors of 12, given the prime factor tree below?
\[
\begin{array}{c}
12 \\
/ \quad \backslash \\
2 \quad 6 \\
\quad / \quad \backslash \\
\quad 2 \quad 3
\end{array}
\]

Correct Answer Text: 2, 3

Wrong Answer Text: 2, 3, 6, 12",798
799,Only considers elements in one set when asked to find the union of multiple sets,"Question Text: What is the union of the sets A = {1, 2, 3} and B = {3, 4, 5}?
Correct Answer Text: {1, 2, 3, 4, 5}
Wrong Answer Text: {1, 2, 3}",799
800,Thinks you just add a % sign to the numerator to make a fraction into a percentage,"Question Text: What is \( \frac{3}{10} \) as a percentage?
Correct Answer Text: \( 30\% \)
Wrong Answer Text: \( 3\% \)",800
801,Forgets to give the centre of rotation,"Question Text: A triangle is rotated 90 degrees clockwise. The vertices of the original triangle are A(2, 3), B(4, 5), and C(6, 1). What is the new position of point A after the rotation?
Correct Answer Text: To determine the new position of point A, we need to know the centre of rotation. If the centre of rotation is (0, 0), the new position of point A would be A'(3, -2).
Wrong Answer Text: The new position of point A is A'(3, -2).",801
802,"Thinks that when drawing the elevation, the top layer does not need to be included ","Question Text: A rectangular prism has a height of 5 blocks. When drawing the elevation, how many lines should be drawn to represent the height?
Correct Answer Text: 6
Wrong Answer Text: 5",802
803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) ,"Question Text: The graph below shows the temperature in a city over 5 days. Is the y-axis scaled correctly?

 Graph with y-axis marked as: 5, 10, 15, 20, 25 but the distance from 0 to 5 is much larger than the distance between the other values.

Correct Answer Text: No, the y-axis is not scaled correctly.

Wrong Answer Text: Yes, the y-axis is scaled correctly because the numbers increase by 5 each time.",803
804,Believes percentages cannot be converted into fractions,"Question Text: Can the percentage 25% be expressed as a fraction?

Correct Answer Text: Yes, 25% = 1/4

Wrong Answer Text: No, percentages and fractions are different and cannot be converted into each other.",804
805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line,"Question Text: A triangle is reflected over the line y = x and then rotated 90 degrees clockwise. What is the correct order of transformations to achieve this result?

Correct Answer Text: First reflect the triangle over the line y = x, then rotate the reflected triangle 90 degrees clockwise.

Wrong Answer Text: First rotate the line y = x by 90 degrees clockwise, then reflect the triangle over the rotated line.",805
806,Thinks the number in the ratio is the total,"Question Text: A recipe for making cookies has a ratio of 3:5 of sugar to flour. If you need 15 cups of flour, how many cups of sugar do you need in total and how many cups of the mixture do you have in total?
Correct Answer Text: 9 cups of sugar, 24 cups of the mixture
Wrong Answer Text: 3 cups of sugar, 8 cups of the mixture",806
807,Believes all quadratic equations have a solution of 0,"Question Text: What is the solution to the quadratic equation \( x^2 + 1 = 0 \) ?

Correct Answer Text: No real solution

Wrong Answer Text: \( x = 0 \)",807
808,Thinks they double rather than halve when finding the area of a triangle,"Question Text: What is the area of the triangle with a base of 6cm and a height of 8cm?

Correct Answer Text: 24cm²

Wrong Answer Text: 96cm²",808
809,Uses cos when tan is required,"Question Text: In a right-angled triangle, the length of the side opposite an angle is 5cm and the length of the side adjacent to the angle is 12cm. What is the value of the tangent of the angle?

Correct Answer Text: 5/12

Wrong Answer Text: The value is the cosine, which is 12/13",809
810,Believes the number outside the circles in a Venn represents the intersection,"Question Text: In a Venn diagram, two overlapping circles show the number of students who like reading and the number of students who like writing. The number 15 is written outside both circles. What does the number 15 represent?
Correct Answer Text: The total number of students who do not like reading or writing.
Wrong Answer Text: The number of students who like both reading and writing.",810
811,Believes they can multiply/divide through by a negative number without changing the direction of the inequality,"Question Text: Solve the inequality \( -2x > 6 \) by dividing both sides by \( -2 \).

Correct Answer Text: \( x < -3 \)

Wrong Answer Text: \( x > -3 \)",811
812,When dividing numbers with the same base correctly subtracts the powers but divides the base numbers.,"Question Text: Simplify \( \frac{6^{8}}{6^{3}} \).
Correct Answer Text: \( 6^{5} \)
Wrong Answer Text: \( \frac{6}{6}^{8-3}=1^{5}=1 \)",812
813,Believes parallel is the term used to describe two lines at right angles,"Question Text: What term is used to describe the two lines shown below?

(Cannot display image. Two lines at right angles)

Which term best describes the relationship between the two lines?

Correct Answer Text: Perpendicular

Wrong Answer Text: Parallel",813
814,Confuses circumference and radius,"Question Text: A circular table has a circumference of 20 meters. What is the radius of the table?
Correct Answer Text: 20 / (2 * π)
Wrong Answer Text: 20",814
815,Counts in the wrong direction on a number line,"Question Text: Sarah starts at -5 on a number line and moves 3 units to the right. Where does she end up?
Correct Answer Text: -2
Wrong Answer Text: -8",815
816,Only counts visible faces,"Question Text: A cube has 6 faces. If 3 cubes are stacked on top of each other, how many faces does the new solid have?
Correct Answer Text: 14
Wrong Answer Text: 9",816
817,Believes adding numbers together gives the highest common factor,"Question Text: What is the highest common factor of 6 and 9?
Correct Answer Text: 3
Wrong Answer Text: 15",817
818,Believes the median is the category with the median frequency,"Question Text: A survey of favorite colors was conducted among 15 students. The results are as follows:
Color: Red, Blue, Green, Yellow
Frequency: 3, 5, 4, 3
What is the median color of the students' favorite colors?

Correct Answer Text: There is no median color, but the median position would fall in the 'Blue' or 'Green' category as the 8th value, since the data is not numerical and the colors need to be arranged in order of frequency first.

Wrong Answer Text: Green, because it is the middle frequency (4).",818
819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis","Question Text: The exam scores of 20 students are recorded in the table below. 

| Score | Frequency |
| --- | --- |
| 0-9 | 3 |
| 10-19 | 5 |
| 20-29 | 4 |
| 30-39 | 4 |
| 40-49 | 4 |

Draw a cumulative frequency diagram to represent the data. What should be plotted on the vertical axis?

Correct Answer Text: The cumulative frequency
Wrong Answer Text: The upper bound of each class interval (e.g. 9, 19, 29, 39, 49)",819
820,Does not know that you can leave a fraction in improper form,"Question Text: Simplify the fraction: \[
\frac{7}{4}+\frac{3}{4}
\]
Correct Answer Text: \(\frac{10}{4}\) or \(\frac{5}{2}\)
Wrong Answer Text: \(\frac{2}{4}\) with remainder 2",820
821,Mistakes rotations for translations,"Question Text: A triangle is rotated 90 degrees clockwise around its center point. What type of transformation has occurred?
Correct Answer Text: Rotation
Wrong Answer Text: Translation",821
822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down","Question Text: Round \( 43.65 \) to one decimal place.
Correct Answer Text: \( 43.7 \)
Wrong Answer Text: \( 43.6 \)",822
823,Assumes they multiply by the numerator of fractional index,"Question Text: What is \( 8^{2/3} \) equal to?
Correct Answer Text: \( \sqrt[3]{8^2} \)
Wrong Answer Text: \( 8^2 \times 3 \)",823
824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number","Question Text: Round \( 4.67 \) to 1 decimal place.
Correct Answer Text: \( 4.7 \)
Wrong Answer Text: \( 5 \)",824
825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole ","Question Text: Convert the mixed number \( 3 \frac{1}{4} \) to an improper fraction.
Correct Answer Text: \( \frac{13}{4} \)
Wrong Answer Text: \( \frac{13}{12} \)",825
826,Confuses intersection and universal set,"Question Text: Consider two sets: 
Set A = {1, 2, 3, 4, 5}
Set B = {4, 5, 6, 7, 8}
What is the set that contains all elements that are in either Set A or Set B or both?

Correct Answer Text: {1, 2, 3, 4, 5, 6, 7, 8}

Wrong Answer Text: {4, 5}",826
827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor,"Question Text: A survey of favorite colors was taken in two classes. The results are shown below.

| Color  | Class A | Class B |
|--------|---------|---------|
| Red    | 5       | 15      |
| Blue   | 8       | 24      |
| Green  | 12      | 36      |

If Class B has 3 times as many students as Class A, what is the mode for Class B if the mode for Class A is Green?

Correct Answer Text: Green

Wrong Answer Text: Green with a frequency of 36 is the mode for Class B, so the mode is 3 times the mode of Class A, which means the mode for Class B is 3 Greens.",827
828,Adds when calculating area instead of multiplying,"Question Text: A bookshelf has 5 shelves, and each shelf is 3 meters long and 2 meters wide. What is the total area of the shelves?
Correct Answer Text: 5 x (3 x 2) = 30 square meters
Wrong Answer Text: 5 x (3 + 2) = 25 square meters",828
829,Estimates angle rather than calculating,"Question Text: In a triangle, the length of the hypotenuse is 10cm and one of the other sides is 6cm. What is the size of the angle opposite the 6cm side?
Correct Answer Text: Using trigonometry, the angle is 36.87 degrees
Wrong Answer Text: The angle is roughly 45 degrees",829
830,Gives an example of a factor instead of counting how many total factors a number has,"Question Text: What is the total number of factors of the number 12?
Correct Answer Text: 6 (1, 2, 3, 4, 6, 12)
Wrong Answer Text: 3, because 3 is a factor of 12.",830
831,Thinks subtraction calculates how many in ,"Question Text: Sarah has 15 pencils in her pencil case. She gives 7 pencils to her friend. What does the calculation 15 - 7 represent?
Correct Answer Text: The number of pencils Sarah has left.
Wrong Answer Text: The total number of pencils Sarah and her friend have now.",831
832,Believes that a fraction with equal numerator and denominator cancels to 0,"Question Text: Simplify the fraction \( \frac{5}{5} \).
Correct Answer Text: \( 1 \)
Wrong Answer Text: \( 0 \)",832
833,"When calculating perimeter, multiplies instead of adds","Question Text: What is the perimeter of a rectangle with a length of 6cm and a width of 4cm?
Correct Answer Text: 20cm
Wrong Answer Text: 24cm",833
834,"When asked for the next term in the sequence adds one to the last term given, despite the sequence not going up in ones.","Question Text: What is the next number in the sequence: 2, 5, 8, 11, 14?
Correct Answer Text: 17
Wrong Answer Text: 15",834
835,Confuses a formula with an equation,"Question Text: What is the difference between the formula \( A = \pi r^2 \) for the area of a circle and the statement \( 16\pi = \pi \times 4^2 \) ?

Correct Answer Text: \( A = \pi r^2 \) is a formula because it has variables and describes a general relationship, whereas \( 16\pi = \pi \times 4^2 \) is an equation because it has numbers and is a specific statement of equality.

Wrong Answer Text: They are the same thing, both are equations because they both have an equals sign.",835
836,Believes the mean is the middle number,"Question Text: What is the mean of the following set of numbers: 2, 4, 6, 8, 10?

Correct Answer Text: To find the mean, we need to add all the numbers and divide by the total count of numbers. The mean is (2 + 4 + 6 + 8 + 10) / 5 = 30 / 5 = 6.

Wrong Answer Text: Since there are an odd number of values, the mean is the middle number, which is 6.",836
837,Believes that rounding parts of a fraction in different directions means the answer will be the same. ,"Question Text: A bookshelf is 2.49m long. If it is divided into 5 equal parts, what is the length of each part to the nearest tenth of a meter?
Correct Answer Text: 0.5m
Wrong Answer Text: Round 2.49m to 2.5m, then divide by 5 to get 0.5m, or round 2.49m to 2.4m (to counter the .09 being rounded up), then divide by 5 to get the same answer of 0.48m",837
838,"When factorising a quadratic without a non variable term, tries to double bracket factorise","Question Text: Factorise the quadratic expression: \( x^2 + 5x \)

Correct Answer Text: \( x(x + 5) \)

Wrong Answer Text: \( (x + 1)(x + 4) \)",838
839,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. ","Question Text: What is \( 12 \div \frac{3}{4} \) ?
Correct Answer Text: \( 12 \times \frac{4}{3}=16 \)
Wrong Answer Text: \( 12 \times \frac{1}{3}=4 \)",839
840,Does not understand the place value of answers from a Napier's bones calculation,"Question Text: Using Napier's bones, you multiply 432 by 6 and get the following result:


 hundreds: 2
 tens: 5
 ones: 4 (after adding a carry of 1 from the tens column)
 
 thousands: 2


What is the correct answer to the multiplication problem?

Correct Answer Text: 2592
Wrong Answer Text: 2542",840
841,Does not subtract 2 from the number of sides when finding the sum of interior angles,"Question Text: What is the sum of the interior angles of a hexagon?
Correct Answer Text: \( (6-2) \times 180=720 \)
Wrong Answer Text: \( 6 \times 180=1080 \)",841
842,Confuses the calculations for HCF and LCM,"Question Text: What is the highest common factor (HCF) of 12 and 18, and the lowest common multiple (LCM) of 12 and 18?
Correct Answer Text: HCF is 6, LCM is 36
Wrong Answer Text: HCF is 36, LCM is 6",842
843,Does not see fraction diagrams as equivalent if the shading is in a different pattern,"Question Text: Are the following two fraction diagrams equivalent?

 Diagram 1: A rectangle divided into 8 equal parts with the first 4 parts shaded.
 Diagram 2: A rectangle divided into 8 equal parts with the first, third, fifth, and seventh parts shaded.

Correct Answer Text: Yes, they are equivalent.

Wrong Answer Text: No, they are not equivalent because the shading is in a different pattern.",843
844,Thinks there are 100mm in a metre,"Question Text: A bookshelf is 2 metres long. How many millimetres is that?
Correct Answer Text: 2000mm
Wrong Answer Text: 200mm",844
845,Believes they can find the nth term based on the first term only,"Question Text: 
Find the 10th term of the sequence: 2, 5, 8, 11, 14...

Correct Answer Text: 
To find the 10th term, we need to find the common difference (d) between terms. 
The common difference is 3. 
Then, we use the formula for the nth term: an = a1 + (n-1)d, 
where a1 is the first term (2) and n is the term number (10). 
an = 2 + (10-1)3 = 29.

Wrong Answer Text: 
The 10th term will be 10 times the first term, so 2 x 10 = 20.",845
846,Thinks there are 1000ml in a centilitre,"Question Text: A bottle of juice contains 2 centilitres of liquid. How many millilitres of juice are in the bottle?

Correct Answer Text: 20ml

Wrong Answer Text: 2000ml",846
847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.,"Question Text: Convert 25% to a fraction.
Correct Answer Text: 1/4
Wrong Answer Text: 2/5",847
848,Believes when simplifying a fraction you can divide the numerator and denominator by different values,"Question Text: Simplify the fraction \( \frac{12}{16} \). What is the simplified fraction?

Correct Answer Text: \( \frac{3}{4} \)

Wrong Answer Text: \( \frac{4}{2} \)",848
849,Thinks the nth term is when the value of the term is n,"Question Text: In the sequence 2, 5, 8, 11, 14, what is the 5th term and what term number is 5?
Correct Answer Text: The 5th term is 14, and 5 is not a term in the sequence given.
Wrong Answer Text: The 5th term is 5.",849
850,Thinks there are 10mm in a metre,"Question Text: A bookshelf is 2 metres long. How many millimetres is that?
Correct Answer Text: 2000mm
Wrong Answer Text: 20mm",850
851,Thinks a negative x value in a column vector means to move right rather than left ,"Question Text: A translation is described by the column vector \( \begin{pmatrix} -3 \\ 4 \end{pmatrix} \). If the point \( (2,5) \) is translated by this vector, what will be the new x-coordinate?

Correct Answer Text: \( -1 \)

Wrong Answer Text: \( 5 \)",851
852,Thinks there are 100 mg in a gram,"Question Text: A recipe calls for 250 grams of sugar. If you only have a milligram scale, how many milligrams of sugar do you need?

Correct Answer Text: 250,000 mg

Wrong Answer Text: 25,000 mg",852
853,Does not know how to check tessellation,"Question Text: Which of the following is a way to check if a shape can tessellate?
 
Correct Answer Text: Check if the internal angles of the shape can add up to 360 degrees without leaving any gaps or overlaps when repeated.

Wrong Answer Text: Check if the shape has equal sides.",853
854,Divided by 100 rather than multiplied by 100,"Question Text: A shirt is on sale for 25% off. If the original price is £40, how much will you pay for the shirt after the discount?
Correct Answer Text: £30
Wrong Answer Text: £0.40",854
855,Believes integers can have decimal places,"Question Text: Is the number \( 5.7 \) an integer?
Correct Answer Text: No
Wrong Answer Text: Yes",855
856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded.","Question Text: Shade 1/4 of this shape which has 8 equal parts.


Correct Answer Text: Shade 2 parts


Wrong Answer Text: Shade 8 parts",856
857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer","Question Text: Solve for x in the equation: 
\[
\frac{4}{x} = 2
\]
What is the value of x?

Correct Answer Text: 2

Wrong Answer Text: 1/2",857
858,Believes splitting a multiplication using the distributive property is the same as splitting it into factors,"Question Text: \( 6 \times 14 \) can be split into two simpler multiplications using the distributive property. Which of the following is the correct split?
 
Correct Answer Text: \( 6 \times(10+4) \)

Wrong Answer Text: \( (3 \times 2) \times 14 \)",858
859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting,"Question Text: Factorise \( x^2 - 16 \).
Correct Answer Text: \( (x+4)(x-4) \)
Wrong Answer Text: \( (x+16)(x-16) \)",859
860,Mixes up clockwise and anticlockwise,"Question Text: 
A wheel is initially pointing to the 12 o'clock position. It then rotates 90 degrees to point to the 3 o'clock position. Which direction did the wheel rotate?

Correct Answer Text: 
Clockwise

Wrong Answer Text: 
Anticlockwise",860
861,Reads a power as a normal digit,"Question Text: What is the value of \( 2^{3} \times 4 \) ?
Correct Answer Text: \( 2^{3} = 8 \), so \( 8 \times 4 = 32 \)
Wrong Answer Text: \( 2^{3} = 23 \), so \( 23 \times 4 = 92 \)",861
862,Does not understand equivalent ratios,"Question Text: A recipe for making 12 cupcakes requires 240g of flour. If you want to make 8 cupcakes, how much flour do you need?
Correct Answer Text: 160g
Wrong Answer Text: 240g",862
863,Believes inequalities can only include integers,"Question Text: Solve the inequality \( 2x > 5 \) and state one possible value of \( x \).

Correct Answer Text: \( x > 2.5 \), one possible value is \( 3 \) or any other number greater than \( 2.5 \), such as \( 2.6 \).

Wrong Answer Text: \( x > 3 \), one possible value is \( 4 \).",863
864,Reads 0 on protractor as size of angle when angle is not in usual orientation,"Question Text: Measure the size of the angle in the diagram below:


[Insert diagram of an angle with the vertex at the top and the arms pointing downwards, with the protractor aligned but the 0 on the protractor on the right-hand side of the angle]

Correct Answer Text: 60 degrees

Wrong Answer Text: 0 degrees",864
865,Does not recognise a unit of mass,"Question Text: What unit is used to measure the mass of the following items: 
- A bag of sugar weighing 500g
- A car weighing 1500kg
- A paper clip weighing 2g
What unit do all of these items have in common?

Correct Answer Text: All of the items are measured in units of mass (grams or kilograms).

Wrong Answer Text: The bag of sugar is measured in grams (a unit of volume), the car is measured in kilograms (a unit of length), and the paper clip is measured in grams (a unit of volume).",865
866,Believes that the y intercept is where y = 0,"Question Text: What is the y-intercept of the line represented by the equation y = 2x + 3?

Correct Answer Text: (0,3)

Wrong Answer Text: Where the line crosses the x-axis",866
867,When finding the area of a parallelogram does not understand which lengths to use,"Question Text: What is the area of the parallelogram below?

 Parallelogram with base length of 8cm and side length of 5cm, height of 6cm.

Correct Answer Text: 48 square centimeters (8cm x 6cm)

Wrong Answer Text: 40 square centimeters (8cm x 5cm)",867
868,Believes a number raised to a power will always give a positive answer,"Question Text: What is the value of \( (-2)^3 \) ?
Correct Answer Text: \( -8 \)
Wrong Answer Text: \( 8 \)",868
869,Believes multiplying together prime factors that are not shared gives the highest common factor,"Question Text: Find the highest common factor of 12 and 20 by considering their prime factors: 
12 = 2^2 x 3 
20 = 2^2 x 5

Correct Answer Text: 2^2 = 4

Wrong Answer Text: 3 x 5 = 15",869
870,Only counts visible vertices,"Question Text: A cube has 8 vertices. If a cube is placed inside a box so that one of its faces is touching the side of the box and the vertices of that face are not visible, how many vertices of the cube can be seen?
Correct Answer Text: 4
Wrong Answer Text: The cube has no vertices because I can only see 4 edges and a flat square, but no vertices on that side.",870
871,Does not include brackets when attempting to multiply an expression,"Question Text: What is the value of \( 2 \times 3+4 \) if the 3 and 4 are to be added first?
Correct Answer Text: \( 2 \times(3+4) \)
Wrong Answer Text: \( 2 \times 3+4 \)",871
872,Thinks angles can only be measured when one line is horizontal,"Question Text: Can the angle between two lines be measured if neither of the lines is horizontal?

Correct Answer Text: Yes

Wrong Answer Text: No",872
873,Believes that we cannot calculate the mean of negative numbers,"Question Text: What is the mean of the numbers \( -5, -3, -1, 1, 3 \) ?
Correct Answer Text: \( \frac{-5 + (-3) + (-1) + 1 + 3}{5} = \frac{-5}{5} = -1 \)
Wrong Answer Text: We cannot calculate the mean because some of the numbers are negative.",873
874,Mistakes the place value column of hundred thousands with millions,"Question Text: Write the number 4,250,000 in words.

Correct Answer Text: Four million two hundred and fifty thousand.

Wrong Answer Text: Four hundred and twenty-five million.",874
875,Believes vertically opposite angles sum to 360 degrees,"Question Text: In the diagram below, what is the sum of the vertically opposite angles x and y?

 Correct Answer Text: \( 180 \) degrees

 Wrong Answer Text: \( 360 \) degrees",875
876,Believes squaring a negative number just changes the sign,"Question Text: What is the value of \( (-3)^2 \) ?
Correct Answer Text: \( 9 \)
Wrong Answer Text: \( -9 \)",876
877,Does not convert measurements to have the same units before calculating area or volume,"Question Text: 
A bookshelf has a length of \( 2 \) meters and a width of \( 80 \) centimeters. What is the area of the bookshelf in square centimeters?

Correct Answer Text: 
\( 2 \) meters is \( 200 \) centimeters, so the area is \( 200 \times 80 = 16000 \) square centimeters.

Wrong Answer Text: 
The area is \( 2 \times 80 = 160 \) square centimeters.",877
878,"Counts on by 1, when asked to count forward/backwards in a step other than 1","Question Text: Sarah has 15 pencils in a jar. If she adds 4 pencils to the jar every day, how many pencils will she have after 3 days?
Correct Answer Text: 27
Wrong Answer Text: 18",878
879,Thinks you apply one inverse operation to one term and the other inverse operation to the other term,"Question Text: Solve for x: 2x + 5 = 11

Correct Answer Text: 2x + 5 = 11, subtract 5 from both sides: 2x = 11 - 5, then divide both sides by 2: x = (11 - 5) / 2 = 3

Wrong Answer Text: 2x + 5 = 11, subtract 5 from 2x: 2x - 5, and divide 11 by 2: 11 / 2, so x = (2x - 5) = 11 / 2",879
880,Thinks a higher average means more consistent data,"Question Text: Two students, Alex and Ben, scored the following marks in their last 5 tests:
Alex: 60, 70, 80, 70, 80
Ben: 40, 90, 70, 60, 90
Who has the more consistent results?
Correct Answer Text: Alex
Wrong Answer Text: Ben, because his average is the same but one of his scores is higher than Alex's highest score, so he must be more consistent.",880
881,adds all given dimensions when calculating area,"Question Text: A bookshelf has a rectangular base with a length of 5m and a width of 3m. What is the area of the base?
Correct Answer Text: 5m x 3m = 15m²
Wrong Answer Text: 5m + 3m = 8m²",881
882,Believes 0 has no square root,"Question Text: What is the value of \( \sqrt{0} \) ?
Correct Answer Text: 0
Wrong Answer Text: There is no square root of 0",882
883,"Believes mirror line must lie on a grid line, not in between grid lines","Question Text: What is the equation of the mirror line for the reflection that maps point A (2,3) to point B (4,3)?
Correct Answer Text: x = 3
Wrong Answer Text: x = 2 or x = 4",883
884,"When asked for more, find the total","Question Text: Tom has 5 boxes of pens. Each box contains 8 pens. If he needs 5 more pens than he currently has in 3 boxes, how many pens does he need?
Correct Answer Text: 3 x 8 + 5 = 29
Wrong Answer Text: 3 x 8 = 24, so he needs 24 pens",884
885,Thinks they can simplify algebraic fractions by cancelling unlike variables,"Question Text: Simplify the expression: \[
\frac{2x}{4y}
\]
Correct Answer Text: \[
\frac{x}{2y}
\]
Wrong Answer Text: \[
\frac{2}{4}
\]",885
886,Believes that prime numbers cannot be even,"Question Text: Is the number 2 a prime number?
Correct Answer Text: Yes
Wrong Answer Text: No, because it is even",886
887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint","Question Text: A survey of exam scores has been taken, and the results are grouped into classes as shown in the table:

| Class | Frequency |
| --- | --- |
| 0-9 | 5 |
| 10-19 | 8 |
| 20-29 | 12 |
| 30-39 | 15 |

Estimate the number of students who scored below 25.

Correct Answer Text: To estimate the number of students who scored below 25, we need to find the midpoint of the class 20-29, which is 24.5. Since 25 is not the midpoint, we need to estimate the proportion of the class that is below 25. Assuming a uniform distribution within the class, we can estimate that (25 - 20) / (29 - 20) = 5/9 of the class is below 25. So, the estimated number of students who scored below 25 is 5 + 8 + (5/9) * 12 = 5 + 8 + 6.67 = 19.67 ≈ 20.

Wrong Answer Text: Since 25 is in the class 20-29, we can assume that half of the frequency of that class (12/2 = 6) is below 25. Adding this to the frequencies of the previous classes, we get 5 + 8 + 6 = 19.",887
888,Does not understand the relationship between a ratio and fraction,"Question Text: A recipe for making cookies calls for a ratio of 2:5 of sugar to flour. If you need 250g of flour, how much sugar do you need?
Correct Answer Text: 100g
Wrong Answer Text: 125g (thinking that the ratio is the same as 2/5 of the total amount of ingredients)",888
889,"Believes when you plot a sequence, the line always passes through (0, 0)","Question Text: 
Below is a sequence that follows the rule \( y = 2x + 3 \). When plotted on a graph, which point will the line definitely pass through?

Correct Answer Text: (0, 3)

Wrong Answer Text: (0, 0)",889
890,Thinks they had to give the new amount rather than the total percentage that the original has been increased by.,"Question Text: A shirt originally costs \( £20 \). It is on sale for \( £26 \). What percentage increase is this?
Correct Answer Text: \( 30\% \)
Wrong Answer Text: \( £6 \)",890
891,Incorrectly cancels what they believe is a factor in algebraic fractions,"Question Text: Simplify the expression: \[
\frac{2x+4}{x+2}
\]

Correct Answer Text: \[
\frac{2(x+2)}{x+2} = 2
\]

Wrong Answer Text: \[
\frac{2x+4}{x+2} = \frac{2x}{x} = 2x
\]",891
892,Believes each vertical line on a box plot represents 1 piece of data,"Question Text: The box plot below represents the scores of 10 students on a math test.

[Insert a box plot with a range of scores, e.g. 40-80, with whiskers and outliers]

How many students scored exactly 60 on the test?

Correct Answer Text: We cannot tell from the box plot.

Wrong Answer Text: 1 student scored exactly 60 on the test.",892
893,"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator","Question Text: Convert the improper fraction \( \frac{27}{4} \) to a mixed number.
Correct Answer Text: \( 6\frac{3}{4} \)
Wrong Answer Text: \( 2\frac{7}{4} \)",893
894,Believes expanding a squared expression means writing it as a set of double brackets,"Question Text: Expand the expression \( (x+3)^{2} \).
Correct Answer Text: \( x^{2}+6x+9 \)
Wrong Answer Text: \( (x+3)(x+3) \)",894
